Name,Album,Song,TrackNo,String6,String5,String4,String3,String2,String1
Lee,NYC Ghosts & Flowers,NYC Ghosts & Flowers,7,D2,F2,C3,D3,F3,F3
Lee,NYC Ghosts & Flowers,Lightnin,8,,,,,,
Kim,NYC Ghosts & Flowers,Free City Rhymes,1,D2,G2,D3,D3,B3,B3
Kim,NYC Ghosts & Flowers,Renegade Princess,2,D2,G2,D3,D3,B3,B3
Kim,NYC Ghosts & Flowers,Nevermind (What Was It Anyway),3,D2,A3,D3,A4,B4,B4
Kim,NYC Ghosts & Flowers,Small Flowers Crack Concrete,4,D2,A3,D3,A4,B4,B4
Kim,NYC Ghosts & Flowers,Side2Side,5,,,,,,
Kim,NYC Ghosts & Flowers,StreamXSonik Subway,6,,,,,,
Kim,NYC Ghosts & Flowers,NYC Ghosts & Flowers,7,,,,,,
Kim,NYC Ghosts & Flowers,Lightnin,8,D2,A3, D3 ,G3 ,G3 ,B4
Thurston,Murray Street,The Empty Page,1,C2,G2,D3,G3,C3,D4
Thurston,Murray Street,Disconnection Notice,2,C2,G2,D3,G3,C3,D4
Thurston,Murray Street,Rain on Tin,3,C2,G2,D3,G3,C3,D4
Thurston,Murray Street,Karen Revisted,4,C2,G2,D3,G3,C3,D4
Thurston,Murray Street,Radical Adults Lick Godhead Style,5,C2,G2,D3,G3,C3,D4
Thurston,Murray Street,Plastic Sun,6,C2,G2,D3,G3,C3,D4
Thurston,Murray Street,Sympathy for the Strawberry,7,C2,G2,D3,G3,B4,B4
Lee,Murray Street,The Empty Page,1,E2,E2,B3,E3,B4,B4
Lee,Murray Street,Disconnection Notice,2,G2,G2,D3,G3,G3,A4
Lee,Murray Street,Rain on Tin,3,C2,G2,D3,C3,G3,D4
Lee,Murray Street,Karen Revisted,4,G2,G2,D3,G3,G3,A4
Lee,Murray Street,Radical Adults Lick Godhead Style,5,G2,G2,D3,G3,G3,A4
Lee,Murray Street,Plastic Sun,6,G2,G2,D3,G3,G3,A4
Lee,Murray Street,Sympathy for the Strawberry,7,E2,E2,B3,E3,B4,B4
Kim,Murray Street,The Empty Page,1,D2,A3,D3,A4,B4,B4
Kim,Murray Street,Disconnection Notice,2,D2,A3,D3,A4,B4,B4
Kim,Murray Street,Rain on Tin,3,G2,G2,D3,E3,G3,B4
Kim,Murray Street,Karen Revisted,4,D2,A3,D3,A4,B4,B4
Kim,Murray Street,Radical Adults Lick Godhead Style,5,,,,,,
Kim,Murray Street,Plastic Sun,6,E2,B3,E3,G3,G3,B4
Kim,Murray Street,Sympathy for the Strawberry,7,E2,E2,B3,B3,F#3,F#3
Jim,Murray Street,The Empty Page,1,,,,,,
Jim,Murray Street,Disconnection Notice,2,,,,,,
Jim,Murray Street,Rain on Tin,3,G2,G2,D3,E3,G3,B4
Jim,Murray Street,Karen Revisted,4,,,,,,
Jim,Murray Street,Radical Adults Lick Godhead Style,5,G2,G2,D3,D3,D#3,D#3
Jim,Murray Street,Plastic Sun,6,,,,,,
Jim,Murray Street,Sympathy for the Strawberry,7,,,,,,
Thurston,Sonic Nurse,Pattern Recognition,1,G2,G2,D3,D3,D#3,D#3
Thurston,Sonic Nurse,Unmade Bed,2,C2,G2,D3,G3,C3,D4
Thurston,Sonic Nurse,Dripping Dream,3,C2,G2,D3,G3,C3,D4
Thurston,Sonic Nurse,Kim Gordon and the Arthur Doyle Hand Cream,4,C2,G2,D3,G3,C3,D4
Thurston,Sonic Nurse,Stones,5,C2,G2,D3,G3,C3,D4
Thurston,Sonic Nurse,Dude Ranch Nurse,6,G2,G2,D3,D3,D#3,D#3
Thurston,Sonic Nurse,New Hampshire,7,C2,G2,D3,G3,C3,D4
